Open,High,Low,Close,Volume
904.47,912.26,894.16,894.88,4019.02599299
894.87,905.19,882.3,901.59,6368.31390839
901.7,920.0,901.12,918.31,4719.1206968
918.36,965.19,918.36,955.07,13995.94270796
955.07,978.45,941.81,966.08,8765.39127495
964.66,973.03,949.22,960.79,8242.64280013
960.79,961.98,928.95,934.39,7627.6674639
934.91,948.87,913.9,926.23,12261.0729081
925.3,955.0,921.08,948.85,6440.56449129
948.15,949.68,935.0,946.55,3951.75808128
946.08,952.32,933.36,933.99,1825.18982349
934.99,941.51,929.01,937.0,1644.60659549
937.0,937.0,906.01,906.74,5040.86214166
906.51,918.0,890.9,914.0,6607.05159332
912.97,921.91,912.15,917.58,1744.83386488
917.3,923.48,908.54,914.59,1379.30726822
914.82,919.71,900.0,905.27,2210.47029325
905.29,912.52,902.07,904.87,1975.2322064
904.91,920.76,904.44,920.76,1099.87287479
920.82,945.35,920.08,943.26,4999.25941395
943.56,961.0,940.69,958.94,4312.09321306
958.92,964.39,944.79,950.33,5236.46226821
950.47,952.53,940.28,947.19,2249.53452566
946.91,952.34,937.69,941.86,1823.12280978
942.21,954.66,940.59,954.01,1075.7199897
954.66,958.03,948.55,954.87,1615.47962145
954.99,955.0,949.7,950.5,1081.23918848
950.5,953.0,945.51,952.99,1376.3145657
952.99,987.05,952.99,980.65,6473.64484396
981.29,997.0,969.07,990.8,7750.48948457
990.81,997.8,983.54,992.99,5153.70741234
992.26,996.48,981.71,992.75,6459.62721656
991.99,993.71,981.14,988.35,2874.63412207
988.98,1012.7,988.65,1009.8,7706.13479346
1009.5,1009.5,959.01,979.86,8250.95784349
980.0,995.0,969.69,975.0,3647.453703
974.53,985.87,964.72,965.43,3049.50755877
966.39,973.35,956.28,966.3,4366.83742067
967.89,980.99,966.9,976.84,1760.56847368
976.85,979.6,971.01,972.54,833.78643128
972.35,974.64,962.35,964.91,768.65098744
963.93,971.26,957.93,960.22,1219.82598783
960.01,973.26,959.91,968.31,1433.19219075
967.83,983.09,964.01,975.86,1428.63345583
975.85,976.85,970.0,970.93,439.73972473
970.78,971.26,966.69,969.78,496.82109796
969.74,981.53,969.46,980.76,830.45045953
981.06,985.0,979.63,984.14,624.65503059
984.35,996.81,982.53,991.6,1849.22330156
991.03,1007.88,990.53,1002.01,3119.51846752
1002.64,1027.74,1002.37,1022.87,6196.31917736
1023.0,1035.27,1019.05,1035.27,7258.40407238
1033.73,1036.54,1027.68,1032.84,1936.43554562
1033.15,1033.24,1015.98,1019.07,2563.36566514
1019.07,1031.0,1015.69,1029.97,2670.11937653
1029.97,1032.33,1019.67,1031.79,1538.77569931
1032.05,1063.77,1031.98,1062.99,5308.87511786
1062.46,1070.0,1054.68,1059.54,3616.15616584
1059.77,1097.2,1059.77,1085.97,6423.8202491
1086.81,1094.68,1079.49,1091.87,5162.06275733
1091.44,1138.0,1086.61,1123.07,7141.00970495
1124.28,1166.0,1114.38,1144.47,7221.32246319
1143.82,1153.38,1086.56,1109.99,13729.13967039
1109.99,1123.48,1081.0,1095.44,7874.34877097
1096.88,1109.46,1032.74,1064.23,18062.28421593
1065.69,1076.75,1027.15,1030.06,6683.54961715
1029.86,1055.0,1026.0,1046.59,4874.9561853
1047.54,1081.23,1047.54,1065.48,8697.38539841
1065.41,1069.25,1034.56,1041.38,3385.15989094
1039.78,1054.77,985.0,1000.78,8493.67203738
999.94,1028.85,984.21,1021.54,5223.7943735
1022.24,1028.38,988.0,995.13,3700.10586918
994.38,1007.57,961.01,970.12,9139.5552424
972.42,972.82,913.56,948.33,18859.98002959
949.28,973.97,940.5,968.34,10678.7743491
968.33,983.38,915.0,915.0,5953.12612588
915.5,930.0,888.88,921.53,19766.1691997501
920.59,948.0,910.45,947.84,5264.02475889
948.0,969.99,943.8,965.62,4748.92309293
965.62,972.3,933.61,949.68,4586.75460637
950.1,967.29,942.12,957.38,3383.749057
955.59,960.0,945.06,957.2,1693.30444047
957.08,979.73,948.22,977.29,1714.11555655
977.06,980.04,957.81,976.07,2938.83629777
975.94,986.23,971.0,981.86,3158.45166917
981.56,1012.22,980.71,1008.78,8055.2518292
1008.51,1031.98,1005.92,1019.29,7911.80426128
1019.29,1020.0,993.18,1000.68,5503.752294
1000.24,1007.82,968.71,1005.74,5067.63482383
1005.49,1007.27,992.0,995.17,2000.69466778
995.06,1014.06,985.63,1011.6,2257.7755427
1012.51,1028.26,1002.11,1003.72,3298.87319032
1003.72,1022.22,1003.72,1020.55,1895.34960359
1020.56,1028.83,1013.04,1023.37,2318.89127622
1024.15,1048.23,1020.14,1045.0,4952.40609475
1045.0,1049.58,1032.16,1037.01,2520.91554861
1036.68,1058.72,1034.64,1057.27,3083.46875875
1057.0,1057.0,1040.47,1052.13,3755.86557048
1052.07,1052.07,1030.0,1040.82,3225.67725895
1041.9,1047.76,990.0,1001.44,6673.10403533
1000.93,1015.66,984.31,1003.38,5067.37620778
1003.74,1004.73,985.54,1001.13,3010.36149669
1000.91,1016.03,998.15,1010.96,1650.93111225
1012.58,1026.13,999.16,1002.13,4330.92054218
1001.13,1010.0,994.0,1002.63,2530.81149351
1003.84,1007.61,995.11,996.85,2556.85440151
995.65,1000.85,987.19,999.73,3194.05926109
999.98,1017.94,999.98,1013.57,2357.58095505
1014.2,1022.75,1004.68,1022.05,2461.24672395
